Var,MLE,DLSA_AIC,DLSA_BIC,WLSE,ONE_SHOT
intercept,0.0010875462572347264,-0.29484079740168345,-0.29825655840473103,-0.2942791756999378,-0.29004095838660643
Year,-0.3991785821639056,6.119492039685029,6.118733299231408,6.119636991065868,6.208371392859962
CRSArrTime,-0.07016264234362873,-0.12527685714274744,-0.1252287977132655,-0.1252922636773241,-0.12752611217932017
Distance,-6.6471308829403535,-5.679430594614226,-5.6792565471073075,-5.679470382844814,-5.913699765902916
CRSDepTime,-0.8001600574927619,-0.12015500922166414,-0.11981600373907761,-0.12022133004656899,-0.12186598772467339
DayofMonth,0.0218641438531834,-0.061215876757448114,-0.0608521103024668,-0.06128501629977998,-0.06211639920389706
ActualElapsedTime,7.016175582935144,0.08289134700184933,0.08314480225553149,0.08284354830257334,0.0841426881923599
DepTime,1.1118425726049128,0.15110169624339573,0.15138574550295478,0.1510473743791368,0.15296296502304677
Month_2,0.1409003139110216,-0.13217417360694353,-0.13182810623987332,-0.13223942177900605,-0.13451640850953503
Month_3,0.11537307867607889,-0.014971427050656239,-0.014382379028669023,-0.015086971238381819,-0.015278840188383777
Month_4,0.052340836918763574,0.029674135754193566,0.029653664905519735,0.02967835660941942,0.0300684858138608
Month_5,0.06903584697615962,6.026884517153176,6.0266688433734075,6.026932649818786,6.265868946474277
Month_6,0.32429158802081376,-0.28315778106356687,-0.281709781158582,-0.28346324397272205,-0.29039326241670954
Month_7,0.2952743378614142,-0.09283859463125864,-0.08891679505961683,-0.09346047397574869,-0.09795511939464793
Month_8,0.2509861565424238,-0.022707911977391203,-0.020722755956098585,-0.023012102541874274,-0.025144238333682838
Month_9,-0.05939197930548668,-0.07253448054470456,-0.07027770309379165,-0.07293992699175789,-0.07718474274297772
Month_10,0.10147350850757099,0.8024941626793146,0.8032462634569426,0.8023937398276144,0.8098114347926554
Month_11,0.033817425398201394,0.3960165225208694,0.39638908391053373,0.3959809968080721,0.3923920489414474
Month_12,0.27982577664122893,0.18977483478136561,0.19033166804297036,0.18964278317209937,0.19042936717858625
DayOfWeek_2,0.008712185252315117,0.5963184885807719,0.5972091806869173,0.5961894917690457,0.6032613485786453
DayOfWeek_3,0.09362030892729227,0.8457354769589173,0.8461776894032818,0.84566548603154,0.8541103220908786
DayOfWeek_4,0.24236961833934276,-0.5675964755733679,-0.5662213774969569,-0.5678168203182034,-0.5790972445901015
DayOfWeek_5,0.3074075765072814,0.39091955765386627,0.3917051519743197,0.3908355201068573,0.3943700862470102
DayOfWeek_6,-0.01701542956860114,0.21927148134157357,0.21992350240584968,0.21913319831404143,0.2215628780021567
DayOfWeek_7,0.09347873570169059,0.2552272095015733,0.2558852912965466,0.2551271463068674,0.25596015732331734
UniqueCarrier_AA,-0.3006677944443305,0.4880988594717902,0.4886742782110642,0.48800204447233275,0.49128043482409184
UniqueCarrier_CO,-0.26314401267853493,-0.15821616947574862,-0.15674265826811234,-0.15843033228722259,-0.16362657471775374
UniqueCarrier_DL,0.37924893368607,0.17472717576224725,0.17560074395089148,0.17457689077931238,0.1756135038020515
UniqueCarrier_NW,-0.21848912016963074,0.3936802036395372,0.39360548789089367,0.3936923215059813,0.39267605121762994
UniqueCarrier_UA,0.12500281669972452,0.6955654139062135,0.696305801286831,0.695449454500899,0.7041558254773106
UniqueCarrier_US,0.141446108164331,-0.4272966000790319,-0.4260284276636815,-0.42752862953525467,-0.4334282543396848
UniqueCarrier_WN,0.4988729546178897,-0.59783705726225,-0.5963828451239468,-0.5980463384766307,-0.6061791367617559
Origin_ABQ,0.7253614172491157,-0.46093067610130123,-0.45955743463168686,-0.461157829135306,-0.46996194364999533
Origin_ANC,1.7924156467040173,-0.13849026213711527,-0.1361149817175801,-0.1389027311870689,-0.1463610243206767
Origin_ATL,-0.35474684399180867,-0.01794760443687445,-0.015279361878825561,-0.01845065443521171,-0.01827513517232575
Origin_AUS,0.26981416781112466,0.3936379595483908,0.39443698029932467,0.39354591561892804,0.3968538788716861
Origin_BDL,-1.3696228059808944,0.38145922087572687,0.38150386192115876,0.3814558876711327,0.3803344654611218
Origin_BHM,-0.06239869056696476,0.13206435596586522,0.13253390826362949,0.13218019007322868,0.12784755532987577
Origin_BNA,-0.35323202737324116,-0.1691230108565586,-0.16749699416669694,-0.16934242509880137,-0.17382902841899867
Origin_BOS,-1.7960639319209852,0.12759025431702925,0.1282229035231721,0.127532392786945,0.12759020995808948
Origin_BUF,-0.5063136042671993,-0.5549508683465012,-0.553686193702506,-0.5551549715175634,-0.5616886225082369
Origin_BUR,0.8913811510898104,-0.01583945558701188,-0.009457896388844795,-0.017132813122186785,-0.02002824953196418
Origin_BWI,-0.8877800507184954,0.5435329101800414,0.5440523686997277,0.5434572280539409,0.54744002512103
Origin_CLE,-0.7119481971283631,0.4920771390785442,0.4931221540561942,0.49191818723272784,0.49584280169450595
Origin_CLT,-0.4908021371568944,-0.8739723934280041,-0.8727239567628328,-0.8741866997409014,-0.8864890383036501
Origin_CMH,-0.33853022768379964,-0.8056733981657914,-0.8043489270218025,-0.8058723213128087,-0.8174207668878282
Origin_CVG,-0.45786865676447275,0.28927598819487715,0.29020590228126125,0.28913607893415033,0.29267829217173275
Origin_DAL,0.3855533568863745,-0.0857426578194805,-0.08399150732326,-0.08603803488234353,-0.09002540794484204
Origin_DAY,-0.22435855709819516,0.3985438484255825,0.3994476008363171,0.39840591268461056,0.4017686267885255
Origin_DCA,-1.2113423285736824,-0.07012833731540494,-0.06851683151004608,-0.07052380790146237,-0.07297269190101392
Origin_DEN,0.5843676540256494,-0.21663422737313906,-0.21510585753494782,-0.21694375664673918,-0.2231967669842046
Origin_DFW,0.05006231297747545,0.5291859556668601,0.5301240305970282,0.5290730869100495,0.5335444166508901
Origin_DTW,-0.5277079627035935,0.3240647779850352,0.32435241870332854,0.32401222095680454,0.32454695873904904
Origin_ELP,0.8387410844099058,-0.5638372733203629,-0.5623823724366878,-0.5640977101223543,-0.5730707002496945
Origin_EWR,-1.850318770421193,0.20815896886503396,0.20856921515037413,0.2081176569172129,0.20770913699231758
Origin_FLL,-0.7154130001041252,-0.9881790388359092,-0.9869221380250567,-0.9883826490993328,-1.0027682915952374
Origin_GSO,-0.4659848006225269,0.11516488660360724,0.1146126124642937,0.11506682546554471,0.11149312553762744
Origin_HNL,2.1425311850411832,0.18864382122524273,0.18855925864534503,0.18868940572617243,0.18579487930631358
Origin_HOU,0.28897327750207924,-0.5156131199794064,-0.514263071904578,-0.5158384768536982,-0.5247656727549818
Origin_IAD,-1.1991233398411965,-0.2956688053930973,-0.29440684230259095,-0.29584571516099956,-0.29998721478370943
Origin_IAH,0.0015192344069953284,0.8234212443571991,0.8239338769994966,0.8233474436594896,0.8305521795578372
Origin_IND,-0.27347276593567793,0.45503632172289216,0.45565464821034085,0.4549815492945148,0.4546894637800372
Origin_JAX,-0.3257126573599108,-0.7160143377235271,-0.714697204325641,-0.7162300011375287,-0.7268845040585804
Origin_JFK,-2.1893988996507923,0.07381156841174871,0.07415307320004982,0.0737926601208545,0.07276589393462533
Origin_LAS,1.0930338294903563,-0.9456424215262513,-0.9443883358572698,-0.9458754470898436,-0.9592864295765015
Origin_LAX,1.0032838818692527,0.3817106821670668,0.3822228866979174,0.38161973287861417,0.38369267176551586
Origin_LGA,-1.9718222944821229,0.8651728059799199,0.8657698898393841,0.8650827059983699,0.8725991805890141
Origin_MCI,0.1521378752597292,0.6092599941513801,0.6099333094379156,0.6091338996839323,0.614746514035873
Origin_MCO,-0.770673188258585,0.5179185910683115,0.518195299362215,0.5178768046886677,0.5200316488081431
Origin_MDW,-0.10077648567592572,-0.4811851804393194,-0.47983704235643854,-0.4813910803024414,-0.490364563330265
Origin_MEM,-0.06730079304607008,0.7120323316436514,0.7122788858979598,0.7119797047265364,0.7175512562750076
Origin_MIA,-0.844635910293526,0.3858409133278978,0.38632134426289216,0.3857964460082274,0.38554784504001033
Origin_MKE,-0.2217585055924256,-0.6385972307143694,-0.6373650682597221,-0.6388143431221096,-0.6489456050588829
Origin_MSP,-0.08999771230066567,-0.10461328862291615,-0.10270716376618692,-0.10495790745024526,-0.10958113620005062
Origin_MSY,0.12595830559893378,0.21396895455767398,0.21388322953043193,0.21399560370229403,0.21092248541944678
Origin_OAK,1.1501082332453532,-1.044724579045158,-1.0434141093452558,-1.0449329530318747,-1.0612588552729003
Origin_OKC,0.3678303937397877,-0.7080247869104376,-0.7067147999809732,-0.7081833727682084,-0.7194680999630227
Origin_OMA,0.2727037942759301,-0.8476037873229971,-0.8463229975376337,-0.8478032907532737,-0.8612744898081904
Origin_ONT,1.085230465519595,1.578440237282278,1.5793378631318669,1.5783502864481962,1.5954638842008324
Origin_ORD,-0.2594135328324765,-0.4146467854121101,-0.4131008057522436,-0.4148749087572101,-0.4204004099592146
Origin_ORF,-0.8422167105675546,-0.6726623582861988,-0.6713854026252287,-0.6728731838523239,-0.6842061297970615
Origin_PBI,-0.69371797986257,-1.119205612034414,-1.1179173964414353,-1.1194248647761096,-1.137586114403445
